                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1645,                 1.5009,                 2.3782,                0.79024,                0.78702,                0.85002,                0.42046,                 1.6362,                 1.1151,                 1.7725,                0.07013,              0.0033189,              0.0033189
                      2,                 1.4519,                 1.0139,                 1.5098,                0.85782,                0.79006,                0.87393,                0.51604,                 1.3502,                0.95252,                  1.431,               0.040064,              0.0065864,              0.0065864
                      3,                 1.4108,                0.99181,                 1.4234,                0.83879,                0.75027,                0.83966,                0.47998,                 1.4024,                  1.445,                 1.4469,              0.0099322,              0.0097879,              0.0097879
                      4,                 1.3899,                0.92498,                 1.3817,                0.80967,                0.74853,                0.83749,                0.51031,                  1.338,                 1.1091,                  1.365,               0.009703,               0.009703,               0.009703
                      5,                 1.3618,                0.86959,                 1.3451,                0.83637,                0.75862,                0.85152,                0.51801,                 1.3351,                0.87344,                 1.3381,               0.009703,               0.009703,               0.009703
                      6,                 1.3273,                0.83022,                 1.3177,                0.86829,                0.79285,                0.88487,                0.54393,                 1.3169,                0.77302,                 1.3085,               0.009604,               0.009604,               0.009604
                      7,                 1.3068,                0.80418,                 1.3012,                0.88105,                 0.8007,                 0.8922,                0.55485,                 1.2907,                0.73787,                 1.2749,               0.009505,               0.009505,               0.009505
                      8,                 1.2956,                0.78986,                 1.2889,                0.87553,                0.80492,                  0.891,                 0.5536,                 1.2773,                0.72454,                 1.2762,               0.009406,               0.009406,               0.009406
                      9,                 1.2786,                0.77245,                 1.2756,                0.87487,                 0.8095,                  0.895,                0.56688,                 1.2602,                0.70809,                 1.2565,               0.009307,               0.009307,               0.009307
                     10,                 1.2645,                0.75662,                 1.2648,                0.89169,                0.80973,                0.90288,                  0.583,                 1.2279,                0.68234,                 1.2375,               0.009208,               0.009208,               0.009208
                     11,                 1.2574,                0.74629,                 1.2595,                0.86758,                0.82732,                 0.9036,                0.59036,                 1.2105,                0.66912,                 1.2224,               0.009109,               0.009109,               0.009109
                     12,                 1.2473,                0.73538,                 1.2525,                0.88244,                0.82767,                0.90999,                0.58539,                 1.2235,                0.67015,                 1.2216,                0.00901,                0.00901,                0.00901
                     13,                 1.2432,                0.72475,                 1.2481,                0.89094,                0.82462,                0.91185,                0.59577,                 1.1985,                0.65142,                 1.2116,               0.008911,               0.008911,               0.008911
                     14,                 1.2319,                0.71826,                 1.2385,                0.88949,                0.83229,                0.91487,                0.59343,                 1.2073,                0.66018,                 1.2078,               0.008812,               0.008812,               0.008812
                     15,                 1.2218,                0.70953,                 1.2335,                0.89034,                0.82997,                0.91427,                0.59202,                 1.2141,                0.64391,                 1.2165,               0.008713,               0.008713,               0.008713
                     16,                 1.2162,                0.70374,                 1.2302,                0.88837,                0.83658,                0.91948,                0.59689,                 1.2009,                0.64244,                 1.2006,               0.008614,               0.008614,               0.008614
                     17,                 1.2185,                0.69813,                 1.2261,                0.88935,                0.84033,                0.92187,                0.59999,                   1.19,                0.63357,                  1.196,               0.008515,               0.008515,               0.008515
                     18,                 1.2077,                0.69065,                 1.2236,                0.89074,                0.84103,                0.92233,                0.60675,                 1.1907,                0.61768,                 1.2003,               0.008416,               0.008416,               0.008416
                     19,                 1.2012,                 0.6887,                 1.2182,                0.89642,                0.84349,                0.92382,                0.60497,                 1.1981,                0.61628,                 1.1981,               0.008317,               0.008317,               0.008317
                     20,                 1.1943,                 0.6779,                 1.2107,                0.88565,                0.84626,                0.92453,                0.61207,                 1.1751,                0.60673,                 1.1878,               0.008218,               0.008218,               0.008218
                     21,                 1.1933,                0.67433,                 1.2066,                0.89189,                0.84818,                  0.926,                0.60846,                 1.1777,                0.60034,                 1.1971,               0.008119,               0.008119,               0.008119
                     22,                 1.1846,                0.67083,                 1.2074,                0.89209,                 0.8476,                0.92645,                 0.6143,                 1.1713,                0.59947,                 1.1833,                0.00802,                0.00802,                0.00802
                     23,                 1.1838,                0.66765,                 1.1997,                0.89694,                0.85092,                0.93007,                0.61971,                 1.1595,                 0.5872,                 1.1771,               0.007921,               0.007921,               0.007921
                     24,                 1.1739,                0.66131,                 1.1953,                0.90134,                0.84959,                0.93082,                0.61824,                 1.1593,                  0.589,                 1.1768,               0.007822,               0.007822,               0.007822
                     25,                 1.1702,                0.65846,                 1.1926,                0.89542,                0.85147,                0.93102,                0.61905,                 1.1577,                0.58551,                 1.1754,               0.007723,               0.007723,               0.007723
                     26,                 1.1689,                0.65459,                 1.1938,                0.89287,                0.85557,                0.93027,                0.62051,                 1.1616,                0.58279,                 1.1705,               0.007624,               0.007624,               0.007624
                     27,                 1.1653,                0.65149,                 1.1906,                0.89545,                0.85143,                0.93257,                0.62388,                 1.1556,                0.57166,                 1.1682,               0.007525,               0.007525,               0.007525
                     28,                 1.1617,                0.64713,                  1.185,                0.90092,                0.85487,                0.93356,                0.62439,                 1.1504,                0.57314,                 1.1629,               0.007426,               0.007426,               0.007426
                     29,                 1.1603,                0.64544,                 1.1849,                0.89462,                0.86424,                0.93377,                0.62442,                 1.1521,                0.56496,                 1.1641,               0.007327,               0.007327,               0.007327
                     30,                 1.1536,                0.64218,                 1.1837,                0.89858,                0.86073,                0.93431,                0.62778,                 1.1438,                0.56154,                 1.1572,               0.007228,               0.007228,               0.007228
                     31,                 1.1495,                0.63572,                 1.1776,                0.89746,                0.85877,                0.93354,                0.62804,                 1.1466,                0.56049,                 1.1568,               0.007129,               0.007129,               0.007129
                     32,                 1.1425,                0.63133,                 1.1746,                0.90573,                0.85686,                0.93432,                 0.6281,                 1.1422,                0.55771,                 1.1585,                0.00703,                0.00703,                0.00703
                     33,                 1.1403,                0.62868,                 1.1747,                0.89734,                0.85768,                0.93432,                0.63158,                 1.1315,                 0.5524,                 1.1538,               0.006931,               0.006931,               0.006931
                     34,                  1.134,                0.62687,                 1.1723,                0.90258,                0.85428,                0.93573,                0.63174,                 1.1389,                0.55553,                 1.1561,               0.006832,               0.006832,               0.006832
                     35,                 1.1339,                0.62298,                 1.1702,                0.90112,                0.86214,                0.93629,                0.63559,                 1.1231,                0.55221,                 1.1474,               0.006733,               0.006733,               0.006733
                     36,                 1.1326,                  0.623,                 1.1681,                0.90133,                0.85994,                0.93639,                0.63572,                 1.1296,                0.54671,                 1.1509,               0.006634,               0.006634,               0.006634
                     37,                 1.1227,                0.61797,                 1.1639,                0.90517,                0.85791,                 0.9362,                0.63737,                 1.1248,                0.54809,                 1.1446,               0.006535,               0.006535,               0.006535
                     38,                 1.1246,                0.61535,                 1.1598,                0.90776,                0.86026,                0.93898,                0.63919,                 1.1226,                0.54009,                 1.1437,               0.006436,               0.006436,               0.006436
                     39,                 1.1205,                0.61129,                 1.1602,                0.89966,                0.86612,                0.93771,                0.63535,                 1.1307,                0.54287,                 1.1473,               0.006337,               0.006337,               0.006337
