                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2814,                 1.5749,                 2.5933,                0.80826,                0.70815,                 0.7998,                0.43468,                 1.5682,                  1.146,                 1.8434,                0.07013,              0.0033189,              0.0033189
                      2,                 1.5963,                 1.1032,                 1.7172,                0.84485,                0.70832,                0.81772,                0.47495,                 1.4782,                 1.0133,                 1.6358,               0.040064,              0.0065864,              0.0065864
                      3,                 1.5162,                 1.1112,                 1.5578,                0.78209,                0.65428,                0.75642,                0.42581,                 1.5133,                 1.1628,                 1.6195,              0.0099322,              0.0097879,              0.0097879
                      4,                 1.4688,                 1.0487,                 1.4804,                0.82339,                0.67714,                0.78934,                0.45718,                 1.4499,                 1.0515,                 1.5214,               0.009703,               0.009703,               0.009703
                      5,                 1.4396,                0.97797,                 1.4282,                0.83802,                0.73271,                 0.8385,                0.50241,                  1.333,                0.95997,                 1.3741,               0.009703,               0.009703,               0.009703
                      6,                  1.401,                0.92541,                 1.3992,                 0.8403,                0.74451,                0.84141,                0.50121,                 1.3477,                0.93604,                 1.3819,               0.009604,               0.009604,               0.009604
                      7,                 1.3831,                0.89669,                 1.3757,                0.84632,                0.69601,                0.80171,                0.47717,                 1.3989,                0.90392,                 1.4008,               0.009505,               0.009505,               0.009505
                      8,                  1.364,                0.87402,                 1.3627,                0.86631,                0.76073,                0.86086,                0.52732,                 1.3393,                0.78207,                   1.36,               0.009406,               0.009406,               0.009406
                      9,                 1.3529,                0.85632,                  1.351,                0.86487,                0.75105,                 0.8586,                0.53005,                 1.3313,                0.80829,                 1.3416,               0.009307,               0.009307,               0.009307
                     10,                  1.337,                0.83727,                 1.3355,                0.85273,                0.75182,                0.85011,                0.52447,                  1.333,                 0.8045,                 1.3343,               0.009208,               0.009208,               0.009208
                     11,                 1.3289,                0.82354,                  1.329,                0.86048,                0.76811,                0.86965,                0.53244,                  1.329,                0.77709,                 1.3293,               0.009109,               0.009109,               0.009109
                     12,                 1.3218,                0.81735,                 1.3248,                0.87278,                0.77936,                0.88123,                0.56076,                 1.2538,                 0.7189,                 1.2837,                0.00901,                0.00901,                0.00901
                     13,                 1.3189,                0.80716,                 1.3179,                0.87099,                 0.7899,                0.88458,                0.55748,                 1.2664,                0.71324,                 1.2808,               0.008911,               0.008911,               0.008911
                     14,                 1.3083,                0.80169,                 1.3152,                0.87417,                0.78089,                0.88347,                0.55153,                 1.2857,                0.74658,                  1.281,               0.008812,               0.008812,               0.008812
                     15,                 1.3015,                0.79034,                 1.3036,                0.88468,                0.78722,                0.88765,                0.55965,                  1.258,                0.71776,                 1.2743,               0.008713,               0.008713,               0.008713
                     16,                 1.2956,                0.78503,                 1.2985,                0.86391,                0.79508,                0.88479,                0.56411,                 1.2551,                0.71811,                  1.272,               0.008614,               0.008614,               0.008614
                     17,                  1.299,                0.78137,                 1.2941,                0.88502,                0.78382,                0.89003,                0.56703,                 1.2483,                0.69898,                 1.2674,               0.008515,               0.008515,               0.008515
                     18,                 1.2865,                0.77498,                 1.2921,                0.87344,                0.79707,                0.88975,                0.56583,                 1.2646,                0.69748,                 1.2713,               0.008416,               0.008416,               0.008416
                     19,                 1.2846,                0.77063,                 1.2857,                 0.8812,                0.78261,                0.88435,                0.56247,                 1.2618,                0.68696,                 1.2581,               0.008317,               0.008317,               0.008317
                     20,                 1.2766,                0.76401,                 1.2798,                 0.8835,                0.80727,                0.89807,                0.57671,                 1.2419,                0.66598,                 1.2494,               0.008218,               0.008218,               0.008218
                     21,                 1.2757,                0.75699,                 1.2791,                 0.8879,                0.80506,                0.90144,                0.57962,                 1.2431,                0.66578,                 1.2407,               0.008119,               0.008119,               0.008119
                     22,                 1.2685,                0.75374,                 1.2785,                0.88441,                0.80366,                 0.9013,                 0.5853,                 1.2165,                0.66604,                 1.2346,                0.00802,                0.00802,                0.00802
                     23,                 1.2726,                0.75444,                 1.2759,                 0.8965,                0.80809,                0.90395,                0.58758,                 1.2146,                0.65441,                 1.2288,               0.007921,               0.007921,               0.007921
                     24,                 1.2643,                0.75005,                 1.2709,                0.88993,                 0.8129,                0.90587,                0.58478,                 1.2216,                0.64901,                 1.2322,               0.007822,               0.007822,               0.007822
                     25,                 1.2602,                 0.7426,                 1.2638,                0.89637,                0.80819,                0.90481,                0.58486,                 1.2108,                0.65914,                 1.2279,               0.007723,               0.007723,               0.007723
                     26,                 1.2565,                0.73932,                 1.2625,                0.89499,                0.80868,                0.90676,                0.59128,                 1.2134,                0.64413,                 1.2237,               0.007624,               0.007624,               0.007624
                     27,                 1.2526,                0.73577,                 1.2608,                0.88679,                0.82004,                0.90872,                 0.5912,                 1.2082,                0.63173,                   1.22,               0.007525,               0.007525,               0.007525
                     28,                 1.2446,                0.73015,                 1.2586,                0.88508,                0.82474,                0.91053,                0.59922,                  1.192,                0.62875,                 1.2141,               0.007426,               0.007426,               0.007426
                     29,                 1.2462,                0.73081,                 1.2579,                 0.8914,                0.81419,                0.90877,                0.59519,                 1.2017,                0.62384,                 1.2144,               0.007327,               0.007327,               0.007327
                     30,                 1.2424,                0.72798,                 1.2548,                0.89232,                  0.818,                 0.9099,                0.59706,                 1.1924,                 0.6247,                 1.2074,               0.007228,               0.007228,               0.007228
                     31,                 1.2437,                 0.7225,                 1.2537,                0.89431,                 0.8204,                0.91028,                0.59957,                 1.1906,                0.62514,                 1.2051,               0.007129,               0.007129,               0.007129
                     32,                 1.2346,                0.71706,                 1.2481,                 0.8942,                0.82044,                0.91182,                0.59907,                 1.1891,                0.62183,                 1.2037,                0.00703,                0.00703,                0.00703
                     33,                 1.2313,                0.71621,                 1.2455,                0.89761,                0.81618,                0.91176,                0.59904,                 1.1881,                0.62362,                 1.2046,               0.006931,               0.006931,               0.006931
                     34,                 1.2279,                0.71255,                  1.242,                0.89795,                0.82007,                0.91552,                0.60007,                 1.1909,                0.61739,                 1.2051,               0.006832,               0.006832,               0.006832
                     35,                 1.2297,                0.71342,                 1.2429,                0.88905,                0.82802,                0.91496,                 0.6037,                 1.1801,                0.61635,                 1.1962,               0.006733,               0.006733,               0.006733
                     36,                 1.2302,                0.71288,                 1.2404,                0.89272,                0.82924,                0.91491,                 0.6026,                 1.1817,                0.60979,                 1.1996,               0.006634,               0.006634,               0.006634
                     37,                 1.2216,                0.70809,                 1.2402,                 0.8991,                0.82525,                0.91613,                0.60477,                 1.1763,                 0.6098,                 1.1964,               0.006535,               0.006535,               0.006535
                     38,                 1.2235,                0.70646,                 1.2371,                0.89138,                0.83214,                0.91616,                0.60708,                 1.1736,                0.60871,                  1.191,               0.006436,               0.006436,               0.006436
                     39,                 1.2177,                0.70235,                 1.2333,                0.89762,                0.82943,                0.91837,                0.60528,                 1.1807,                0.60424,                 1.1921,               0.006337,               0.006337,               0.006337
                     40,                 1.2184,                0.70445,                 1.2351,                0.90185,                0.82836,                0.91847,                0.60695,                 1.1766,                0.60034,                 1.1921,               0.006238,               0.006238,               0.006238
                     41,                 1.2153,                0.70042,                 1.2299,                0.89577,                0.83236,                0.91863,                0.60846,                  1.171,                0.60137,                 1.1892,               0.006139,               0.006139,               0.006139
                     42,                 1.2133,                0.69448,                  1.231,                0.90013,                0.83053,                0.91818,                0.60714,                 1.1784,                 0.6012,                 1.1907,                0.00604,                0.00604,                0.00604
                     43,                 1.2114,                0.69344,                 1.2296,                0.89852,                 0.8314,                0.91841,                0.60771,                 1.1774,                0.59801,                 1.1902,               0.005941,               0.005941,               0.005941
