                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5604,                 1.4753,                 1.4875,                0.83113,                0.75381,                0.84396,                0.50839,                 1.3322,                 1.0447,                 1.3241,                0.07013,              0.0033189,              0.0033189
                      2,                 1.3329,                 1.0981,                 1.3098,                0.86229,                0.77386,                0.86985,                0.53955,                 1.2693,                0.90995,                 1.2728,               0.040097,              0.0066193,              0.0066193
                      3,                 1.3052,                 1.0374,                 1.2894,                0.85511,                0.77691,                 0.8655,                0.54174,                 1.2632,                0.95509,                 1.2588,               0.010031,              0.0098867,              0.0098867
                      4,                 1.2924,                 1.0204,                 1.2719,                0.85157,                0.77573,                0.86437,                0.54027,                 1.2618,                0.86573,                 1.2618,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2892,                0.99859,                 1.2705,                0.84823,                0.77878,                0.86228,                0.53876,                 1.2663,                0.92292,                 1.2638,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.2767,                0.97946,                 1.2644,                0.87131,                0.78185,                0.87635,                0.55214,                 1.2557,                0.86399,                 1.2542,               0.009802,               0.009802,               0.009802
                      7,                 1.2763,                 0.9754,                 1.2637,                0.85649,                0.78101,                0.86949,                0.53612,                 1.2697,                 1.3937,                 1.2686,              0.0097525,              0.0097525,              0.0097525
                      8,                  1.274,                 0.9744,                 1.2589,                0.87523,                0.78417,                0.87961,                0.56603,                 1.2158,                0.82605,                 1.2303,               0.009703,               0.009703,               0.009703
                      9,                 1.2664,                0.95931,                 1.2539,                0.85698,                0.79238,                0.87894,                0.55897,                 1.2231,                0.96821,                 1.2419,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.2641,                 0.9573,                 1.2539,                0.87512,                0.79031,                 0.8857,                0.55331,                 1.2578,                0.87679,                 1.2495,               0.009604,               0.009604,               0.009604
                     11,                 1.2623,                0.95454,                  1.252,                0.86592,                0.79726,                0.88651,                 0.5626,                 1.2293,                0.88914,                 1.2263,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.2601,                0.94948,                 1.2487,                0.87807,                0.79356,                0.88986,                0.56478,                 1.2272,                0.88259,                 1.2284,               0.009505,               0.009505,               0.009505
                     13,                 1.2645,                0.94542,                 1.2535,                0.87044,                0.79548,                0.88883,                0.56872,                 1.2137,                0.88142,                 1.2251,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.2571,                0.94222,                 1.2452,                0.86937,                0.79402,                0.88797,                0.56292,                 1.2231,                0.94011,                 1.2257,               0.009406,               0.009406,               0.009406
                     15,                 1.2535,                0.93875,                 1.2446,                0.87768,                0.79742,                0.89075,                0.56888,                 1.2207,                0.85015,                 1.2164,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.2529,                 0.9341,                 1.2455,                0.86495,                0.80117,                 0.8893,                0.55879,                 1.2354,                0.94457,                 1.2301,               0.009307,               0.009307,               0.009307
                     17,                 1.2565,                0.93242,                 1.2424,                0.88022,                 0.7986,                0.89299,                0.57199,                 1.2126,                0.85089,                  1.214,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.2488,                0.92746,                 1.2424,                0.88078,                0.80201,                0.89584,                0.57348,                 1.2143,                0.82296,                 1.2201,               0.009208,               0.009208,               0.009208
                     19,                 1.2481,                0.92964,                 1.2411,                0.87403,                0.80528,                 0.8925,                 0.5738,                 1.2031,                0.86698,                 1.2089,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.2472,                0.91908,                 1.2365,                0.87477,                0.80293,                0.89491,                0.57397,                 1.2159,                0.88668,                 1.2124,               0.009109,               0.009109,               0.009109
                     21,                 1.2495,                0.92295,                  1.237,                0.86966,                0.80958,                0.89648,                0.57455,                 1.2094,                 0.8925,                 1.2167,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.2463,                0.92088,                  1.241,                0.87529,                0.80223,                0.89515,                0.57765,                 1.2023,                0.83215,                 1.2065,                0.00901,                0.00901,                0.00901
                     23,                 1.2465,                0.91922,                  1.237,                 0.8814,                0.81109,                0.89957,                0.57953,                 1.2071,                0.81889,                 1.2089,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.2398,                0.91259,                 1.2347,                0.88397,                0.80434,                0.89873,                0.58295,                 1.1869,                0.81436,                 1.1974,               0.008911,               0.008911,               0.008911
                     25,                 1.2412,                0.91472,                 1.2329,                0.88339,                0.80905,                0.89909,                0.57803,                 1.2077,                0.84303,                 1.2122,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2436,                0.91118,                 1.2355,                0.87795,                0.80938,                0.90124,                0.58167,                 1.1953,                0.87645,                 1.1989,               0.008812,               0.008812,               0.008812
                     27,                 1.2405,                 0.9121,                  1.235,                 0.8802,                0.81465,                0.90204,                0.58231,                  1.193,                0.84191,                 1.2025,              0.0087625,              0.0087625,              0.0087625
                     28,                  1.239,                0.90972,                 1.2343,                0.87752,                0.81139,                0.89929,                0.58281,                 1.1919,                0.87754,                 1.2007,               0.008713,               0.008713,               0.008713
                     29,                 1.2425,                0.90764,                 1.2345,                0.88125,                0.81325,                0.90147,                0.58297,                 1.1914,                0.84113,                 1.1999,              0.0086635,              0.0086635,              0.0086635
