                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5043,                  1.012,                 1.4418,                0.85061,                0.74959,                0.84831,                0.51893,                 1.3541,                0.79119,                 1.3193,               0.070033,              0.0033297,              0.0033297
                      2,                 1.3671,                0.85078,                 1.3256,                 0.8543,                0.76436,                0.85591,                0.53224,                 1.3161,                0.77004,                 1.2886,                   0.04,              0.0066301,              0.0066301
                      3,                  1.358,                0.84939,                 1.3199,                0.86651,                0.76023,                0.86119,                 0.5299,                   1.33,                0.78124,                  1.308,              0.0099336,              0.0098974,              0.0098974
                      4,                 1.3603,                0.85361,                 1.3182,                0.86923,                0.76237,                0.86209,                  0.533,                 1.3231,                0.77695,                 1.2817,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3497,                0.84644,                 1.3138,                0.86076,                0.76858,                0.86725,                0.54369,                 1.3006,                0.75197,                 1.2813,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.3417,                0.84036,                  1.307,                0.85936,                0.77796,                0.87097,                0.53908,                 1.3137,                0.75074,                 1.2908,               0.009802,               0.009802,               0.009802
                      7,                 1.3388,                0.83173,                 1.3024,                0.86841,                0.77819,                0.87632,                0.54383,                 1.2994,                0.74059,                 1.2732,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.3301,                 0.8267,                 1.2974,                0.86659,                0.78277,                0.87725,                0.55326,                 1.2758,                0.72878,                 1.2606,               0.009703,               0.009703,               0.009703
                      9,                 1.3272,                0.82388,                 1.3016,                0.86777,                0.77104,                0.86743,                 0.5481,                 1.2796,                0.72815,                 1.2528,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.3209,                0.81662,                 1.2931,                0.86012,                0.79168,                0.87927,                0.55328,                 1.2798,                0.72599,                 1.2605,               0.009604,               0.009604,               0.009604
                     11,                 1.3216,                0.81259,                  1.288,                0.87673,                0.77866,                0.87932,                0.55828,                  1.273,                0.71752,                 1.2511,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.3155,                0.81043,                 1.2882,                0.86702,                0.78781,                0.88204,                0.55595,                 1.2579,                0.74491,                 1.2537,               0.009505,               0.009505,               0.009505
                     13,                 1.3134,                0.80943,                 1.2865,                0.87187,                0.77859,                  0.878,                0.55607,                 1.2746,                0.71503,                 1.2429,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.3124,                 0.8042,                 1.2835,                0.86939,                0.79789,                0.88602,                 0.5692,                 1.2369,                 0.6891,                 1.2337,               0.009406,               0.009406,               0.009406
                     15,                 1.3075,                 0.7982,                 1.2773,                0.87539,                0.79132,                0.88702,                0.56039,                 1.2616,                0.69145,                 1.2377,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.3057,                0.79894,                  1.277,                0.86536,                0.79566,                0.88606,                0.56388,                 1.2535,                0.69729,                 1.2322,               0.009307,               0.009307,               0.009307
                     17,                 1.3049,                0.79498,                 1.2775,                0.86871,                0.79824,                0.88795,                0.56603,                 1.2399,                 0.6905,                 1.2277,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.3028,                 0.7931,                 1.2692,                0.87838,                 0.7925,                0.88918,                0.56535,                 1.2519,                0.69533,                 1.2317,               0.009208,               0.009208,               0.009208
                     19,                 1.3008,                 0.7928,                 1.2728,                0.87951,                0.79327,                0.89109,                0.56822,                 1.2476,                0.68264,                 1.2304,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.3001,                0.78711,                 1.2714,                0.87548,                0.79868,                0.89057,                0.57079,                 1.2369,                0.68443,                 1.2259,               0.009109,               0.009109,               0.009109
                     21,                 1.2968,                0.78515,                 1.2668,                0.87564,                0.80141,                0.89315,                0.57362,                 1.2371,                0.67455,                 1.2163,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.3032,                 0.7908,                 1.2683,                0.87951,                0.79409,                0.89125,                0.57206,                  1.235,                0.67488,                 1.2153,                0.00901,                0.00901,                0.00901
                     23,                 1.2942,                0.78658,                 1.2636,                0.87845,                 0.7998,                0.89329,                0.57317,                 1.2337,                0.67251,                 1.2171,              0.0089605,              0.0089605,              0.0089605
                     24,                  1.293,                0.78124,                 1.2677,                0.86978,                0.80551,                0.89406,                0.57484,                 1.2285,                0.66582,                 1.2168,               0.008911,               0.008911,               0.008911
                     25,                  1.292,                0.77922,                 1.2635,                 0.8836,                0.79531,                0.89608,                 0.5772,                 1.2248,                0.66427,                 1.2131,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2933,                 0.7783,                  1.263,                0.88066,                0.80574,                0.89602,                 0.5789,                 1.2204,                 0.6599,                 1.2061,               0.008812,               0.008812,               0.008812
                     27,                 1.2891,                0.77525,                  1.262,                0.87605,                0.80399,                 0.8945,                0.57869,                 1.2215,                0.65745,                 1.2067,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.2858,                0.77398,                 1.2591,                0.88784,                0.80399,                0.89858,                0.58177,                 1.2188,                0.65392,                 1.2125,               0.008713,               0.008713,               0.008713
                     29,                 1.2834,                0.77208,                   1.26,                0.87944,                0.80473,                 0.8987,                0.57664,                 1.2308,                0.65388,                 1.2111,              0.0086635,              0.0086635,              0.0086635
                     30,                  1.289,                0.77601,                 1.2622,                0.87949,                 0.8068,                0.89898,                0.57858,                 1.2289,                 0.6531,                 1.2114,               0.008614,               0.008614,               0.008614
                     31,                 1.2838,                0.76907,                 1.2582,                0.88016,                0.80934,                0.89874,                0.58095,                  1.223,                0.64764,                 1.2061,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2812,                0.77001,                 1.2559,                0.87597,                 0.8131,                0.90115,                0.58227,                  1.219,                0.64414,                 1.2051,               0.008515,               0.008515,               0.008515
                     33,                 1.2836,                0.77024,                 1.2578,                0.87817,                0.81325,                 0.9013,                0.58365,                 1.2123,                0.64369,                 1.2027,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2844,                0.77002,                 1.2599,                0.88574,                0.80457,                0.90083,                0.58115,                 1.2165,                0.64285,                 1.2046,               0.008416,               0.008416,               0.008416
                     35,                 1.2794,                 0.7673,                 1.2541,                0.88066,                 0.8129,                0.90153,                0.58415,                 1.2137,                0.64118,                 1.2038,              0.0083665,              0.0083665,              0.0083665
                     36,                  1.278,                0.76523,                 1.2527,                 0.8826,                0.80911,                0.90302,                0.58291,                  1.219,                 0.6419,                 1.2025,               0.008317,               0.008317,               0.008317
                     37,                 1.2772,                0.76257,                  1.252,                0.87169,                 0.8203,                0.90235,                0.58644,                 1.2148,                0.63839,                 1.2005,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2817,                0.76367,                 1.2537,                0.87758,                0.81829,                 0.9033,                0.58545,                 1.2112,                0.63752,                 1.1987,               0.008218,               0.008218,               0.008218
                     39,                 1.2782,                0.76047,                 1.2501,                0.88128,                0.81453,                0.90238,                0.58444,                 1.2162,                0.63616,                 1.2021,              0.0081685,              0.0081685,              0.0081685
                     40,                  1.278,                0.76243,                 1.2525,                0.88037,                0.81443,                0.90337,                0.58601,                 1.2165,                0.63484,                 1.2019,               0.008119,               0.008119,               0.008119
                     41,                 1.2797,                0.76238,                 1.2515,                0.88142,                 0.8177,                0.90384,                0.58677,                 1.2106,                0.63293,                  1.199,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.2747,                0.76065,                 1.2474,                 0.8821,                0.81485,                0.90331,                 0.5872,                 1.2115,                0.63438,                  1.197,                0.00802,                0.00802,                0.00802
                     43,                 1.2692,                0.75494,                 1.2461,                 0.8857,                0.81308,                0.90352,                0.58854,                 1.2075,                0.63089,                 1.1941,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.2711,                0.75873,                 1.2468,                0.87894,                0.81536,                0.90466,                 0.5894,                 1.2081,                0.62858,                 1.1937,               0.007921,               0.007921,               0.007921
                     45,                 1.2706,                0.75419,                 1.2449,                0.88237,                0.81665,                0.90481,                0.58957,                 1.2076,                 0.6279,                 1.1929,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.2647,                0.75375,                 1.2466,                0.88367,                0.81958,                0.90608,                0.59107,                  1.205,                0.62522,                 1.1917,               0.007822,               0.007822,               0.007822
                     47,                 1.2721,                0.75524,                 1.2452,                0.88482,                0.81571,                0.90586,                0.59149,                 1.2042,                 0.6268,                 1.1906,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.2725,                0.75332,                 1.2475,                0.88381,                 0.8204,                 0.9056,                0.59178,                 1.2046,                0.62592,                  1.191,               0.007723,               0.007723,               0.007723
                     49,                 1.2675,                0.75039,                 1.2456,                0.88274,                0.81814,                0.90596,                0.59212,                 1.2023,                0.62602,                 1.1911,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.2732,                0.75432,                 1.2461,                 0.8836,                0.81641,                0.90628,                0.59062,                 1.2043,                0.62612,                 1.1913,               0.007624,               0.007624,               0.007624
                     51,                 1.2676,                0.75248,                 1.2436,                0.87866,                0.82087,                0.90636,                0.59157,                 1.2041,                0.62477,                 1.1909,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.2683,                0.74963,                 1.2426,                0.88131,                0.82087,                0.90667,                0.59148,                 1.2027,                0.62378,                 1.1899,               0.007525,               0.007525,               0.007525
                     53,                 1.2667,                0.74912,                 1.2428,                0.88172,                0.81888,                0.90632,                0.59161,                 1.2019,                0.62361,                 1.1892,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.2653,                0.74892,                 1.2443,                0.88463,                0.81758,                0.90603,                0.59139,                 1.2016,                0.62335,                 1.1887,               0.007426,               0.007426,               0.007426
                     55,                 1.2632,                0.74791,                 1.2432,                0.88075,                0.82259,                0.90649,                0.59201,                 1.2018,                0.62261,                 1.1887,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.2633,                0.74617,                 1.2392,                0.88595,                0.81778,                0.90614,                0.59269,                 1.2008,                0.62251,                 1.1876,               0.007327,               0.007327,               0.007327
                     57,                 1.2606,                0.74429,                 1.2423,                0.88285,                0.81958,                0.90602,                0.59343,                 1.2002,                0.62175,                 1.1879,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.2612,                0.74483,                 1.2391,                0.88095,                0.82327,                0.90683,                0.59352,                 1.2007,                0.62075,                 1.1877,               0.007228,               0.007228,               0.007228
                     59,                 1.2631,                0.74573,                 1.2407,                0.88202,                0.82208,                0.90757,                0.59321,                 1.2009,                0.61966,                 1.1878,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.2632,                0.74256,                 1.2422,                0.88191,                0.82208,                0.90767,                0.59336,                 1.2006,                 0.6195,                 1.1873,               0.007129,               0.007129,               0.007129
                     61,                 1.2605,                0.74102,                 1.2377,                0.87943,                0.82403,                0.90726,                0.59378,                    1.2,                0.61885,                  1.187,              0.0070795,              0.0070795,              0.0070795
                     62,                  1.261,                0.74217,                 1.2368,                0.88057,                0.82204,                 0.9079,                0.59401,                 1.1999,                0.61833,                 1.1866,                0.00703,                0.00703,                0.00703
                     63,                 1.2592,                0.74367,                 1.2353,                0.88198,                0.82087,                0.90786,                0.59405,                 1.1988,                0.61839,                 1.1858,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.2631,                0.74446,                 1.2416,                0.88286,                0.81852,                0.90832,                0.59474,                 1.1988,                 0.6181,                 1.1858,               0.006931,               0.006931,               0.006931
                     65,                 1.2595,                0.74457,                 1.2366,                0.88151,                0.82157,                0.90855,                 0.5948,                 1.1984,                0.61793,                 1.1856,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.2567,                0.74249,                 1.2329,                0.88216,                0.82028,                0.90836,                0.59459,                 1.1978,                0.61737,                 1.1846,               0.006832,               0.006832,               0.006832
                     67,                 1.2579,                0.74397,                 1.2345,                0.88224,                0.82298,                0.90858,                0.59493,                 1.1968,                0.61663,                 1.1841,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.2557,                0.73767,                 1.2335,                 0.8825,                0.82298,                0.90966,                0.59521,                 1.1964,                0.61664,                 1.1838,               0.006733,               0.006733,               0.006733
                     69,                 1.2587,                0.74122,                 1.2311,                0.88226,                0.82224,                0.90914,                0.59539,                  1.196,                 0.6163,                 1.1834,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.2644,                0.74472,                  1.237,                0.88324,                0.82157,                0.90955,                0.59516,                 1.1962,                0.61603,                 1.1834,               0.006634,               0.006634,               0.006634
                     71,                 1.2601,                 0.7433,                 1.2353,                0.88375,                0.82204,                0.90959,                0.59497,                  1.196,                0.61575,                 1.1835,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.2611,                0.74738,                 1.2343,                0.88376,                0.82091,                0.90985,                0.59468,                 1.1956,                0.61509,                  1.183,               0.006535,               0.006535,               0.006535
                     73,                 1.2585,                0.74298,                 1.2301,                0.88354,                0.82185,                0.91044,                0.59537,                 1.1948,                0.61496,                 1.1826,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.2642,                 0.7497,                 1.2356,                0.88327,                0.82232,                 0.9104,                0.59499,                 1.1946,                0.61496,                 1.1825,               0.006436,               0.006436,               0.006436
                     75,                 1.2586,                0.74748,                 1.2332,                0.88414,                0.82134,                0.91038,                0.59499,                 1.1947,                 0.6145,                 1.1825,              0.0063865,              0.0063865,              0.0063865
                     76,                  1.261,                0.74727,                 1.2304,                0.88583,                0.82049,                 0.9105,                0.59532,                 1.1945,                0.61425,                 1.1823,               0.006337,               0.006337,               0.006337
